contig	species	dN	dS	dNdS
c005548	Spistillat	0.0817	3.1466	0.0260
c005553m	Spistillat	0.1348	2.2523	0.0599
c005553p	Spistillat	0.0601	2.3814	0.0252
c005570m	Spistillat	0.3154	7.1144	0.0443
c005580m	Spistillat	0.2158	3.4207	0.0631
c005584	Spistillat	0.1488	8.0717	0.0184
c005585p	Spistillat	0.1005	1.2988	0.0774
c005588	Spistillat	0.1082	2.2617	0.0478
c005600p	Spistillat	0.0250	2.0684	0.0121
c005602	Spistillat	0.0859	1.4583	0.0589
c005606	Spistillat	0.0336	1.2138	0.0277
c005613	Spistillat	0.1452	1.7604	0.0825
c005648	Spistillat	0.2064	1.9118	0.1080
c005649m	Spistillat	0.1120	2.3402	0.0479
c005671m	Spistillat	0.2989	1.3890	0.2152
c005671p	Spistillat	0.1982	2.2476	0.0882
c005693p	Spistillat	0.0744	1.2665	0.0587
c005694m	Spistillat	0.2316	7.5457	0.0307
c005703	Spistillat	0.0942	13.2418	0.0071
c005712	Spistillat	0.1631	1.6736	0.0974
c005721	Spistillat	0.0351	1.1605	0.0302
c005731	Spistillat	0.1357	0.9983	0.1359
c005738	Spistillat	0.6934	26.9311	0.0257
c005741	Spistillat	0.0092	1.5626	0.0059
c005743	Spistillat	0.0353	1.4661	0.0241
c005775	Spistillat	0.0908	2.0816	0.0436
c005781	Spistillat	0.0517	5.0043	0.0103
c005799	Spistillat	0.0254	2.0413	0.0124
c005800	Spistillat	0.4395	4.1705	0.1054
c005826	Spistillat	0.2192	5.7852	0.0379
c005831	Spistillat	0.0671	2.6440	0.0254
c005833m	Spistillat	0.0540	44.3600	0.0012
c005834m	Spistillat	0.0846	1.6089	0.0526
c005836	Spistillat	0.0628	1.6010	0.0392
c005852p	Spistillat	0.1539	3.2583	0.0472
c005865	Spistillat	0.0399	1.8503	0.0216
c005870	Spistillat	0.0620	1.4714	0.0422
c005879	Spistillat	0.0282	1.8553	0.0152
c005895	Spistillat	0.0438	1.9253	0.0227
c005916	Spistillat	0.0500	1.8294	0.0273
c005919p	Spistillat	0.0338	2.7172	0.0125
c005935	Spistillat	0.0203	0.6361	0.0319
c005939	Spistillat	0.0419	2.0857	0.0201
c005963	Spistillat	0.0800	1.8634	0.0430
c005990	Spistillat	0.2625	2.0478	0.1282
c005992	Spistillat	0.0477	1.7877	0.0267
c005997	Spistillat	0.0901	2.4742	0.0364
c006000	Spistillat	0.1094	5.3060	0.0206
c006007p	Spistillat	0.1102	2.4132	0.0457
c006008	Spistillat	0.1542	2.2550	0.0684
c006022	Spistillat	0.0494	1.4488	0.0341
c006032	Spistillat	0.1659	2.2065	0.0752
c006038	Spistillat	0.1098	2.2296	0.0493
c006052	Spistillat	0.0470	1.7488	0.0269
c006054p	Spistillat	0.1415	1.6652	0.0850
c006076	Spistillat	0.1239	1.7699	0.0700
c006096	Spistillat	0.2852	1.9384	0.1471
c006104	Spistillat	0.1577	2.1311	0.0740
c006117	Spistillat	0.0492	2.4339	0.0202
c006118	Spistillat	0.1840	2.5312	0.0727
c006154	Spistillat	0.0145	1.7394	0.0083
c006157	Spistillat	0.0562	1.0153	0.0554
c006184p	Spistillat	0.1468	4.1402	0.0355
c006191	Spistillat	0.0898	1.7018	0.0527
c006192	Spistillat	0.0943	1.0530	0.0896
c006199	Spistillat	0.2509	2.1668	0.1158
c006203p	Spistillat	0.0653	1.7728	0.0369
c006215	Spistillat	0.1330	1.8865	0.0705
c006237	Spistillat	0.0667	2.4940	0.0268
c006248p	Spistillat	0.1614	1.7412	0.0927
c006261	Spistillat	0.1214	63.2902	0.0019
c006270	Spistillat	0.1426	2.0998	0.0679
c006279	Spistillat	0.0928	1.6759	0.0554
c006289	Spistillat	0.1630	2.3477	0.0694
c006293	Spistillat	0.3340	1.8213	0.1834
c006317	Spistillat	0.0795	1.8728	0.0424
c006325	Spistillat	0.1778	5.6940	0.0312
c006332m	Spistillat	0.1924	1.6732	0.1150
c006333	Spistillat	0.1147	1.8559	0.0618
c006353	Spistillat	0.5859	1.9903	0.2944
c006359	Spistillat	0.2631	2.2239	0.1183
c006369	Spistillat	0.2728	2.9623	0.0921
c006372	Spistillat	0.1781	1.7016	0.1047
c006387	Spistillat	0.1139	1.8114	0.0629
c006398	Spistillat	0.3610	3.0914	0.1168
c006410m	Spistillat	0.2348	1.7062	0.1376
c006417	Spistillat	0.1552	2.4911	0.0623
c006418	Spistillat	0.0913	2.1623	0.0422
c006420	Spistillat	0.0901	3.3897	0.0266
c006426	Spistillat	0.1508	1.9406	0.0777
c006427	Spistillat	0.0462	2.2451	0.0206
c006440	Spistillat	0.1905	1.3525	0.1408
c006444	Spistillat	0.0966	1.6848	0.0573
c006449	Spistillat	0.0696	2.7135	0.0256
c006452	Spistillat	0.2882	4.0156	0.0718
c006455	Spistillat	0.1260	1.8815	0.0670
c006465	Spistillat	0.1077	1.8728	0.0575
c006470	Spistillat	0.1962	1.7571	0.1117
c006474	Spistillat	0.0760	2.1083	0.0360
c006492	Spistillat	0.3565	3.0531	0.1168
c006501	Spistillat	0.0441	1.8663	0.0236
c006525	Spistillat	0.0181	1.8631	0.0097
c006527	Spistillat	0.0704	1.9452	0.0362
c006535p	Spistillat	0.0578	1.7133	0.0337
c006539	Spistillat	0.0506	1.5052	0.0336
c006564	Spistillat	0.1212	1.7127	0.0708
c006571m	Spistillat	0.1637	2.1225	0.0771
c006574	Spistillat	0.1682	2.1437	0.0785
c006580	Spistillat	0.0516	1.6952	0.0305
c006584	Spistillat	0.2366	2.1204	0.1116
c006591	Spistillat	0.2914	4.8073	0.0606
c006602	Spistillat	0.2035	1.5009	0.1356
c006603m	Spistillat	0.3132	2.5126	0.1246
c006640	Spistillat	0.1578	1.7757	0.0889
c006657	Spistillat	0.0889	1.9199	0.0463
c006670	Spistillat	0.0547	1.8144	0.0302
c006675	Spistillat	0.0158	0.9837	0.0161
c006696	Spistillat	0.0947	2.6509	0.0357
c006701	Spistillat	0.0370	1.4938	0.0248
c006702	Spistillat	0.0793	1.7692	0.0448
c006716	Spistillat	0.0361	2.3044	0.0157
c006724	Spistillat	0.0068	1.3866	0.0049
c006730	Spistillat	0.0508	1.6426	0.0309
c006740	Spistillat	0.3452	5.4572	0.0633
c006750	Spistillat	0.0683	2.5575	0.0267
c006753	Spistillat	0.1579	4.6307	0.0341
c006757	Spistillat	0.1350	2.2704	0.0595
c006758p	Spistillat	0.2233	19.0517	0.0117
c006771	Spistillat	0.2872	3.1418	0.0914
c006788	Spistillat	0.2992	1.8593	0.1609
c006793	Spistillat	0.1497	2.2291	0.0672
c006804	Spistillat	0.1761	2.1221	0.0830
c006807	Spistillat	0.1177	1.2531	0.0939
c006808p	Spistillat	0.0595	4.6222	0.0129
c006820	Spistillat	0.1422	3.6009	0.0395
c006825	Spistillat	0.0307	1.3025	0.0236
c006827	Spistillat	0.0319	1.6926	0.0188
c006839	Spistillat	0.0682	3.6249	0.0188
c006857	Spistillat	0.1041	1.8508	0.0563
c006860	Spistillat	0.2419	2.2288	0.1085
c006867	Spistillat	0.0901	1.3196	0.0683
c006875	Spistillat	0.0480	1.9088	0.0252
c006882	Spistillat	0.1023	3.7486	0.0273
c006888	Spistillat	0.1140	1.4013	0.0813
c006906	Spistillat	0.3070	3.0938	0.0992
c006923	Spistillat	0.1337	2.4128	0.0554
c006930	Spistillat	0.4446	7.4114	0.0600
c006947	Spistillat	0.0511	1.4717	0.0348
c006948m	Spistillat	0.1520	2.2411	0.0678
c006971	Spistillat	0.0067	0.6373	0.0104
c006973	Spistillat	0.1311	1.4824	0.0884
c006974	Spistillat	0.1134	1.7976	0.0631
c006979	Spistillat	0.1902	2.5575	0.0744
c006985	Spistillat	0.1927	3.4450	0.0559
c006992	Spistillat	0.2700	65.0433	0.0042
c007001	Spistillat	0.1908	2.1499	0.0888
c007010	Spistillat	0.0653	34.5345	0.0019
c007021	Spistillat	0.0277	1.5424	0.0180
c007030	Spistillat	0.3500	27.9310	0.0125
c007031m	Spistillat	0.1977	7.9678	0.0248
c007032	Spistillat	0.0901	1.6341	0.0552
c007040	Spistillat	0.1737	2.1650	0.0802
c007041	Spistillat	0.2894	1.9704	0.1469
c007042	Spistillat	0.0911	1.8586	0.0490
c007043	Spistillat	0.1185	2.0247	0.0585
c007046	Spistillat	0.1779	2.0546	0.0866
c007056	Spistillat	0.1816	2.0064	0.0905
c007057	Spistillat	0.0819	1.8795	0.0436
c007065	Spistillat	0.2161	11.3100	0.0191
c007074	Spistillat	0.4592	1.8727	0.2452
c007076p	Spistillat	0.1658	3.4444	0.0481
c007088	Spistillat	0.2128	5.8876	0.0361
c007099	Spistillat	0.0528	1.3172	0.0401
c007100	Spistillat	0.0824	3.5511	0.0232
c007101	Spistillat	0.1501	2.1450	0.0700
c007102p	Spistillat	0.0241	1.3226	0.0182
c007120m	Spistillat	0.1205	2.7763	0.0434
c007126	Spistillat	0.2234	3.5924	0.0622
c007143	Spistillat	0.1993	3.7749	0.0528
c007156p	Spistillat	0.1773	2.3921	0.0741
c007167	Spistillat	0.4135	1.8125	0.2282
c007181	Spistillat	0.0226	1.5033	0.0150
c007186	Spistillat	0.1795	1.8300	0.0981
c007189	Spistillat	0.0139	1.2382	0.0112
c007190	Spistillat	0.0580	1.5223	0.0381
c007191	Spistillat	0.0374	1.2780	0.0293
c007193	Spistillat	0.1285	1.8342	0.0700
c007196	Spistillat	0.1072	1.9033	0.0563
c007217	Spistillat	0.4955	2.7846	0.1779
c007220	Spistillat	0.1209	1.4273	0.0847
c007222	Spistillat	0.2743	4.8742	0.0563
c007233	Spistillat	0.1403	4.1383	0.0339
c007236	Spistillat	0.0309	1.0968	0.0282
c007239	Spistillat	0.0672	1.0578	0.0635
c007273	Spistillat	0.1255	7.8177	0.0161
c007289	Spistillat	0.0895	1.5901	0.0563
c007291	Spistillat	0.0610	1.4914	0.0409
c007294	Spistillat	0.2007	1.9575	0.1025
c007317	Spistillat	0.1961	1.6974	0.1155
c007319	Spistillat	0.2183	2.0064	0.1088
c007329	Spistillat	0.0550	3.7103	0.0148
c007342	Spistillat	0.3826	2.4319	0.1573
c007353	Spistillat	0.0030	2.9731	0.0010
c007373	Spistillat	0.0168	1.5530	0.0108
c007383	Spistillat	0.2440	2.3106	0.1056
c007386	Spistillat	0.2464	2.3901	0.1031
c007390	Spistillat	0.2714	6.4899	0.0418
c007416	Spistillat	0.2410	1.3648	0.1766
c007426	Spistillat	0.0843	1.6144	0.0522
c007443	Spistillat	0.3395	47.4334	0.0072
c007444	Spistillat	0.2081	8.7499	0.0238
c007459	Spistillat	0.1179	3.2022	0.0368
c007476	Spistillat	0.2098	2.7948	0.0751
c007480	Spistillat	0.1293	2.1539	0.0600
c007481	Spistillat	0.0292	2.0257	0.0144
c007498	Spistillat	0.2902	2.0528	0.1414
c007501p	Spistillat	0.0279	1.5166	0.0184
c007511	Spistillat	0.0952	4.1216	0.0231
c007512m	Spistillat	0.1298	1.8855	0.0688
c007512p	Spistillat	0.1233	1.6606	0.0742
c007514	Spistillat	0.2374	4.8925	0.0485
c007517	Spistillat	0.0594	6.0161	0.0099
c007518	Spistillat	0.0645	1.4453	0.0446
c007521	Spistillat	0.1475	2.3074	0.0639
c007527p	Spistillat	0.2986	1.8885	0.1581
c007539	Spistillat	0.0800	2.1951	0.0364
c007542	Spistillat	0.2020	4.8353	0.0418
c007573p	Spistillat	0.0672	1.5051	0.0446
c007584	Spistillat	0.5335	36.2842	0.0147
c007586	Spistillat	0.0288	1.4224	0.0203
c007591	Spistillat	0.1733	2.1041	0.0824
c007596	Spistillat	0.3536	63.8367	0.0055
c007598m	Spistillat	0.2111	2.7804	0.0759
c007600	Spistillat	0.4580	2.8394	0.1613
c007605	Spistillat	0.0445	1.8496	0.0241
c007610m	Spistillat	0.2360	2.3435	0.1007
c007629	Spistillat	0.1918	1.3336	0.1438
c007645	Spistillat	0.1420	2.1566	0.0658
c007658	Spistillat	0.1771	3.0532	0.0580
c007661	Spistillat	0.0205	1.5680	0.0131
c007672	Spistillat	0.3753	1.9941	0.1882
c007676	Spistillat	0.1268	2.1828	0.0581
c007685	Spistillat	0.1892	1.4968	0.1264
c007709	Spistillat	0.0484	1.8865	0.0257
c007720	Spistillat	0.2615	1.8440	0.1418
c007750	Spistillat	0.0319	0.7865	0.0405
c007770	Spistillat	0.1787	2.3374	0.0764
c007773	Spistillat	0.4883	69.4329	0.0070
c007777	Spistillat	0.0418	1.7546	0.0238
c007792	Spistillat	0.1371	1.3980	0.0980
c007796	Spistillat	0.1056	1.7534	0.0602
c007802p	Spistillat	0.1274	1.5325	0.0831
c007805	Spistillat	0.0664	1.6526	0.0402
c007814	Spistillat	0.0766	1.3602	0.0563
c007817m	Spistillat	0.0924	1.5050	0.0614
c007817p	Spistillat	0.0481	2.3543	0.0204
c007825	Spistillat	0.0877	2.2082	0.0397
c007827	Spistillat	0.2746	3.1293	0.0877
c007832m	Spistillat	0.0597	1.9015	0.0314
c007845m	Spistillat	0.0402	40.1845	0.0010
c007856	Spistillat	0.1018	1.6194	0.0628
c007859	Spistillat	0.0195	1.5367	0.0127
c007860m	Spistillat	0.2454	3.0221	0.0812
c007868	Spistillat	0.0434	2.0770	0.0209
c007886	Spistillat	0.0799	2.2085	0.0362
c007890p	Spistillat	0.0887	2.3772	0.0373
c007905	Spistillat	0.0553	1.8953	0.0292
c007936	Spistillat	0.1287	2.7641	0.0466
c007982p	Spistillat	0.0517	3.2718	0.0158
c007985	Spistillat	0.1193	4.6835	0.0255
c007986	Spistillat	0.2145	5.0092	0.0428
c007996	Spistillat	0.0116	1.0786	0.0107
c007998	Spistillat	0.1782	1.9616	0.0909
c008003	Spistillat	0.0623	2.5320	0.0246
c008006	Spistillat	0.0538	1.8619	0.0289
c008022	Spistillat	0.1481	1.4841	0.0998
c008052	Spistillat	0.0417	1.1081	0.0376
c008058	Spistillat	0.0620	1.3540	0.0458
c008072p	Spistillat	0.0368	36.7758	0.0010
c008074	Spistillat	0.0146	1.2312	0.0119
c008079m	Spistillat	0.2327	1.7338	0.1342
c008091	Spistillat	0.0803	1.6876	0.0476
c008093	Spistillat	0.0530	1.5778	0.0336
c008100	Spistillat	0.1247	2.2176	0.0562
c008110	Spistillat	0.2462	2.9409	0.0837
c008111	Spistillat	0.1459	4.3947	0.0332
c008116	Spistillat	0.0636	2.4712	0.0257
c008128	Spistillat	0.0017	1.3445	0.0013
c008136	Spistillat	0.1755	1.9990	0.0878
c008156	Spistillat	0.3473	1.9787	0.1755
c008161	Spistillat	0.0696	6.7069	0.0104
c008169	Spistillat	0.1193	1.3942	0.0856
c008173p	Spistillat	0.4287	11.4446	0.0375
c008177	Spistillat	0.0402	1.8023	0.0223
c008200	Spistillat	0.1889	1.8298	0.1032
c008207	Spistillat	0.0391	1.6970	0.0231
c008212	Spistillat	0.0280	1.8395	0.0152
c008217	Spistillat	0.0963	1.6678	0.0578
c008225	Spistillat	0.1493	1.6527	0.0904
c008230	Spistillat	0.1091	1.9301	0.0565
c008234	Spistillat	0.0339	1.6915	0.0200
c008236p	Spistillat	0.0505	1.6553	0.0305
c008237	Spistillat	0.0377	2.2229	0.0170
c008241	Spistillat	0.1970	2.3949	0.0822
c008245	Spistillat	0.1259	3.2771	0.0384
c008251	Spistillat	0.2682	3.4021	0.0788
c008265	Spistillat	0.1730	1.3527	0.1279
c008272	Spistillat	0.0844	1.4320	0.0589
c008275	Spistillat	0.1942	69.5746	0.0028
c008277	Spistillat	0.2480	17.5521	0.0141
c008284m	Spistillat	0.1558	1.6066	0.0970
c008295	Spistillat	0.3124	2.1015	0.1487
c008296	Spistillat	0.1088	1.9804	0.0549
c008299p	Spistillat	0.0443	5.1301	0.0086
c008300	Spistillat	0.1885	1.5160	0.1243
c008307m	Spistillat	0.1123	3.0823	0.0364
c008313m	Spistillat	0.1141	2.0643	0.0553
c008326	Spistillat	0.1061	1.2207	0.0869
c008344	Spistillat	0.1617	2.7137	0.0596
c008358	Spistillat	0.4406	2.1587	0.2041
c008361	Spistillat	0.3061	2.6060	0.1175
c008364	Spistillat	0.1950	2.1063	0.0926
c008393	Spistillat	0.0785	0.9903	0.0793
c008407	Spistillat	0.5009	62.1364	0.0081
c008411	Spistillat	0.0949	1.3704	0.0693
c008412p	Spistillat	0.1306	3.3736	0.0387
c008414	Spistillat	0.1555	1.5567	0.0999
c008419	Spistillat	0.2278	1.8843	0.1209
c008423p	Spistillat	0.0774	2.1879	0.0354
c008433	Spistillat	0.1565	3.0038	0.0521
c008439	Spistillat	0.1815	2.6333	0.0689
c008454	Spistillat	0.0237	1.2818	0.0185
c008473	Spistillat	0.1784	1.3397	0.1332
c008477	Spistillat	0.1135	1.8484	0.0614
c008479	Spistillat	0.2551	0.9853	0.2589
c008481m	Spistillat	0.0671	3.8502	0.0174
c008485m	Spistillat	0.0398	0.9562	0.0416
c008491p	Spistillat	0.1663	4.2801	0.0389
c008493	Spistillat	0.0384	3.7189	0.0103
c008507	Spistillat	0.1185	1.6277	0.0728
c008516	Spistillat	0.1259	1.7138	0.0735
c008517	Spistillat	0.0696	3.8626	0.0180
c008521m	Spistillat	0.0435	2.6168	0.0166
c008524p	Spistillat	0.1143	2.7437	0.0417
c008530	Spistillat	0.2029	1.8383	0.1104
c008545	Spistillat	0.0278	1.6550	0.0168
c008546	Spistillat	0.2456	1.7950	0.1368
c008549	Spistillat	0.0459	1.4240	0.0323
c008552m	Spistillat	0.3727	15.3010	0.0244
c008561	Spistillat	0.0453	1.9820	0.0229
c008564	Spistillat	0.0936	2.1309	0.0439
c008569	Spistillat	0.0573	1.3625	0.0420
c008577	Spistillat	0.1127	1.9161	0.0588
c008579	Spistillat	0.0495	2.0026	0.0247
c008586	Spistillat	0.1924	14.0645	0.0137
c008596	Spistillat	0.0841	1.9187	0.0438
c008600	Spistillat	0.2158	8.2164	0.0263
c008614	Spistillat	0.0383	1.2641	0.0303
c008622m	Spistillat	0.0965	1.8874	0.0511
c008625	Spistillat	0.1020	2.3261	0.0438
c008638	Spistillat	0.0840	1.5651	0.0537
c008649	Spistillat	0.0538	1.6155	0.0333
c008653	Spistillat	0.2422	2.3445	0.1033
c008677	Spistillat	0.0651	2.8089	0.0232
c008679p	Spistillat	0.1425	2.2624	0.0630
c008684m	Spistillat	0.1579	1.2005	0.1315
c008687	Spistillat	0.0894	1.1764	0.0760
c008690	Spistillat	0.0036	1.1499	0.0031
c008691	Spistillat	0.0634	1.3717	0.0462
c008694	Spistillat	0.0140	0.9640	0.0145
c008699	Spistillat	0.0150	2.1387	0.0070
c008700m	Spistillat	0.1195	2.1880	0.0546
c008704	Spistillat	0.0690	2.5477	0.0271
c008713	Spistillat	0.1335	2.6163	0.0510
c008720	Spistillat	0.0486	1.8789	0.0259
c008734m	Spistillat	0.0578	3.8612	0.0150
c008735	Spistillat	0.2936	2.4206	0.1213
c008741	Spistillat	0.0770	1.0788	0.0714
c008746	Spistillat	0.0270	1.9544	0.0138
c008759	Spistillat	0.1841	11.0908	0.0166
c008776	Spistillat	0.2804	63.1792	0.0044
c008777	Spistillat	0.1528	3.7595	0.0407
c008781	Spistillat	0.0646	1.5378	0.0420
c008787m	Spistillat	0.1283	1.4828	0.0865
c008790p	Spistillat	0.0758	3.0177	0.0251
c008797p	Spistillat	0.0703	1.7158	0.0410
c008799	Spistillat	0.0852	1.2362	0.0689
c008801	Spistillat	0.1906	1.6576	0.1150
c008814	Spistillat	0.2895	3.7469	0.0773
c008822m	Spistillat	0.1080	1.5757	0.0685
c008833	Spistillat	0.1468	4.0931	0.0359
c008835	Spistillat	0.1354	1.3362	0.1013
c008844	Spistillat	0.1777	1.7519	0.1014
c008849	Spistillat	0.0204	1.5267	0.0134
c008866	Spistillat	0.1071	1.3942	0.0768
c008876	Spistillat	0.1400	1.8102	0.0773
c008882	Spistillat	0.2053	1.9970	0.1028
c008883	Spistillat	0.4177	3.0275	0.1380
c008887	Spistillat	0.3567	1.9447	0.1834
c008899	Spistillat	0.1307	3.0217	0.0433
c008905m	Spistillat	0.1932	2.6023	0.0743
c008912	Spistillat	0.2256	3.3123	0.0681
c008927	Spistillat	0.0716	1.7827	0.0401
c008939	Spistillat	0.1279	2.1807	0.0586
c008961	Spistillat	0.3650	1.3081	0.2790
c008962	Spistillat	0.1197	1.2148	0.0985
c008982	Spistillat	0.1543	1.1779	0.1310
c008993	Spistillat	0.0469	1.4606	0.0321
c008995	Spistillat	0.2871	1.8443	0.1557
c008998m	Spistillat	0.1552	56.6713	0.0027
c009007p	Spistillat	0.5643	11.8866	0.0475
c009011p	Spistillat	0.1016	3.2297	0.0315
c009021	Spistillat	0.1031	1.7507	0.0589
c009035	Spistillat	0.0844	2.8560	0.0295
c009037	Spistillat	0.1608	1.9217	0.0837
c009057	Spistillat	0.1817	2.8208	0.0644
c009077m	Spistillat	0.3056	2.3954	0.1276
c009084	Spistillat	0.0454	1.9377	0.0234
c009085	Spistillat	0.1075	1.8294	0.0588
c009093	Spistillat	0.0823	2.0154	0.0408
c009098	Spistillat	0.2394	2.7413	0.0873
c009109	Spistillat	0.6002	68.6854	0.0087
c009116	Spistillat	0.1360	2.0552	0.0662
c009123	Spistillat	0.1146	3.4059	0.0337
c009126	Spistillat	0.0357	1.6634	0.0215
c009127	Spistillat	0.1358	1.6442	0.0826
c009150	Spistillat	0.2645	1.7231	0.1535
c009167	Spistillat	0.1660	1.8863	0.0880
c009168	Spistillat	0.4599	2.1431	0.2146
c009172	Spistillat	0.2679	2.3742	0.1128
c009195	Spistillat	0.0383	1.7830	0.0215
c009198m	Spistillat	0.0732	1.3463	0.0544
c009203	Spistillat	0.0478	1.4946	0.0320
c009226	Spistillat	0.0884	1.2466	0.0709
c009228	Spistillat	0.1314	1.6272	0.0808
c009230	Spistillat	0.2284	2.0058	0.1139
c009242	Spistillat	0.0765	6.1376	0.0125
c009267	Spistillat	0.0720	2.3306	0.0309
c009269	Spistillat	0.0154	1.1148	0.0138
c009272	Spistillat	0.1700	4.4287	0.0384
c009284	Spistillat	0.2084	2.0203	0.1031
c009291	Spistillat	0.2009	1.5684	0.1281
c009298	Spistillat	0.1490	71.9062	0.0021
c009301m	Spistillat	0.0905	1.7434	0.0519
c009323	Spistillat	0.2524	2.8464	0.0887
c009333	Spistillat	0.2050	2.0378	0.1006
c009335	Spistillat	0.0869	4.0363	0.0215
c009336	Spistillat	0.0979	1.4179	0.0690
c009337	Spistillat	0.2009	5.2770	0.0381
c009342	Spistillat	0.0869	4.5359	0.0192
c009347m	Spistillat	0.2086	2.9249	0.0713
c009354	Spistillat	0.2033	1.8379	0.1106
c009363	Spistillat	0.0962	1.8619	0.0517
c009399	Spistillat	0.4506	67.4277	0.0067
c009404m	Spistillat	0.1520	4.0777	0.0373
c009426	Spistillat	0.4635	2.3378	0.1982
c009430m	Spistillat	0.0936	4.2134	0.0222
c009431	Spistillat	0.0990	2.3210	0.0427
c009440	Spistillat	0.3126	5.5156	0.0567
c009446	Spistillat	0.2114	11.9587	0.0177
c009467	Spistillat	0.7200	1.8320	0.3930
c009477	Spistillat	0.0965	1.3073	0.0738
c009484	Spistillat	0.0719	2.2173	0.0324
c009487	Spistillat	0.4727	6.4435	0.0734
c009490	Spistillat	0.0690	5.7758	0.0119
c009502	Spistillat	0.0494	1.2889	0.0383
c009504	Spistillat	0.0253	1.6123	0.0157
c009515	Spistillat	0.3272	3.8728	0.0845
c009517	Spistillat	0.0533	1.3349	0.0399
c009521	Spistillat	0.1432	3.0744	0.0466
c009528	Spistillat	0.1357	7.3566	0.0185
c009537	Spistillat	0.0999	2.9458	0.0339
c009570	Spistillat	0.3369	6.6394	0.0507
c009571	Spistillat	0.0249	1.5805	0.0157
c009580	Spistillat	0.1954	1.6893	0.1157
c009585	Spistillat	0.1751	1.6060	0.1090
c009587p	Spistillat	0.2427	3.5030	0.0693
c009591	Spistillat	0.1050	1.1258	0.0933
c009593	Spistillat	0.0095	1.2643	0.0075
c009601	Spistillat	0.0810	2.3372	0.0347
c009618	Spistillat	0.4039	3.5447	0.1140
c009620	Spistillat	0.0595	1.5335	0.0388
c009624	Spistillat	0.3098	2.2956	0.1350
c009632	Spistillat	0.1843	2.9644	0.0622
c009647	Spistillat	0.1259	0.7549	0.1668
c009667	Spistillat	0.1694	1.3292	0.1275
c009671	Spistillat	0.1330	2.1349	0.0623
c009674	Spistillat	0.1649	6.9065	0.0239
c009684	Spistillat	0.1804	4.7401	0.0381
c009688	Spistillat	0.2115	1.4567	0.1452
c009689p	Spistillat	0.0716	2.6235	0.0273
c009702	Spistillat	0.1364	2.0806	0.0656
c009706	Spistillat	0.3637	66.5736	0.0055
c009708	Spistillat	0.5483	1.7284	0.3172
c009711	Spistillat	0.0962	2.4181	0.0398
c009712	Spistillat	0.0300	1.4033	0.0214
c009719m	Spistillat	0.5462	1.9465	0.2806
c009735	Spistillat	0.0694	1.9993	0.0347
c009736	Spistillat	0.2005	2.2532	0.0890
c009738	Spistillat	0.1553	4.0126	0.0387
c009741	Spistillat	0.5518	67.6368	0.0082
c009758	Spistillat	0.2732	1.9012	0.1437
c009762	Spistillat	0.3133	2.6828	0.1168
c009769	Spistillat	0.1681	5.8666	0.0287
c009784	Spistillat	0.0987	1.9049	0.0518
c009791	Spistillat	0.0091	1.2810	0.0071
c009794	Spistillat	0.0447	0.1050	0.4257
c009796	Spistillat	0.0107	3.7364	0.0029
c009805	Spistillat	0.0804	2.0078	0.0400
c009813	Spistillat	0.5168	8.2701	0.0625
c009826	Spistillat	0.0758	1.8984	0.0399
c009827	Spistillat	0.0663	1.3933	0.0476
c009832p	Spistillat	0.1993	1.2975	0.1536
c009838	Spistillat	0.1675	2.9138	0.0575
c009840	Spistillat	0.1238	2.0775	0.0596
c009849	Spistillat	0.1466	2.9939	0.0490
c009850	Spistillat	0.0662	1.7391	0.0381
c009856	Spistillat	0.0579	1.2753	0.0454
c009867	Spistillat	0.0815	2.6694	0.0305
c009878	Spistillat	0.3885	2.3779	0.1634
c009879	Spistillat	0.0893	6.8573	0.0130
c009893	Spistillat	0.0871	1.5938	0.0546
c009898	Spistillat	0.1350	1.3186	0.1024
c009901	Spistillat	0.0192	1.8839	0.0102
c009913	Spistillat	0.0892	3.8900	0.0229
c009920	Spistillat	0.0177	1.3504	0.0131
c009925	Spistillat	0.4605	2.6030	0.1769
c009936	Spistillat	0.2440	1.9879	0.1227
c009941	Spistillat	0.1793	2.6302	0.0682
c009942	Spistillat	0.0973	1.3786	0.0706
c009946m	Spistillat	0.1118	2.3047	0.0485
c009946p	Spistillat	0.1378	3.9231	0.0351
c009949	Spistillat	0.0480	1.2928	0.0371
c009968	Spistillat	0.0880	1.7466	0.0504
c009969	Spistillat	0.1922	4.1851	0.0459
c009982	Spistillat	0.1822	4.4443	0.0410
c009987	Spistillat	0.3852	2.0452	0.1884
c009991	Spistillat	0.1143	1.7792	0.0643
c009992	Spistillat	0.0391	2.2671	0.0173
c010009	Spistillat	0.2207	3.9877	0.0554
c010016p	Spistillat	0.0913	1.6713	0.0546
c010032	Spistillat	0.1866	1.7581	0.1061
c010045	Spistillat	0.2713	3.9839	0.0681
c010050	Spistillat	0.1411	2.3998	0.0588
c010052	Spistillat	0.2285	2.1649	0.1055
c010067	Spistillat	0.1315	1.5766	0.0834
c010070	Spistillat	0.0656	1.1285	0.0582
c010087	Spistillat	0.1327	1.3523	0.0982
c010092p	Spistillat	0.0011	1.0800	0.0010
c010116	Spistillat	0.2243	2.9736	0.0754
c010121	Spistillat	0.0690	2.0231	0.0341
c010122	Spistillat	0.2890	2.8093	0.1029
c010123	Spistillat	0.1163	2.4891	0.0467
c010125m	Spistillat	0.1608	1.4626	0.1099
c010132m	Spistillat	0.0073	0.8523	0.0086
