isogroup41671	Signal transduction mechanisms
isogroup10498	Carbohydrate transport and metabolism
isogroup8383	Signal transduction mechanisms
isogroup34301	Chromatin structure and dynamics
isogroup22385	Carbohydrate transport and metabolism
isogroup7156	Energy production and conversion
isogroup23968	Signal transduction mechanisms
isogroup12779	Posttranslational modification, protein turnover, chaperones
isogroup23438	Intracellular trafficking, secretion, and vesicular transport
isogroup5246	Secondary metabolites biosynthesis, transport and catabolism
isogroup10393	Transcription
isogroup25447	Carbohydrate transport and metabolism
isogroup20835	Replication, recombination and repair
isogroup9935	Signal transduction mechanisms
isogroup9935	Posttranslational modification, protein turnover, chaperones
isogroup22165	Posttranslational modification, protein turnover, chaperones
isogroup10898	Replication, recombination and repair
isogroup6224	Cell wall/membrane/envelope biogenesis
isogroup34933	Posttranslational modification, protein turnover, chaperones
isogroup19997	Replication, recombination and repair
isogroup8252	Signal transduction mechanisms
isogroup13456	RNA processing and modification 
isogroup1468	Lipid transport and metabolism
isogroup29554	Signal transduction mechanisms
isogroup29554	Cytoskeleton
isogroup3424	Cell cycle control, cell division, chromosome partitioning
isogroup3424	Posttranslational modification, protein turnover, chaperones
isogroup10704	Amino acid transport and metabolism
isogroup4586	Carbohydrate transport and metabolism
isogroup12633	Lipid transport and metabolism
isogroup7876	Coenzyme transport and metabolism
isogroup2515	Signal transduction mechanisms
isogroup3897	Intracellular trafficking, secretion, and vesicular transport
isogroup7241	Chromatin structure and dynamics
isogroup25990	Extracellular structures
isogroup4941	Signal transduction mechanisms
isogroup15892	Cell cycle control, cell division, chromosome partitioning
isogroup33658	Chromatin structure and dynamics
isogroup1132	Intracellular trafficking, secretion, and vesicular transport
isogroup24216	Posttranslational modification, protein turnover, chaperones
isogroup8423	Signal transduction mechanisms
isogroup669	Intracellular trafficking, secretion, and vesicular transport
isogroup1592	Cytoskeleton
isogroup27308	Lipid transport and metabolism
isogroup15597	Coenzyme transport and metabolism
isogroup2717	Signal transduction mechanisms
isogroup5306	Defense mechanisms
isogroup44345	Cell cycle control, cell division, chromosome partitioning
isogroup11065	Cell wall/membrane/envelope biogenesis
isogroup3740	Intracellular trafficking, secretion, and vesicular transport
isogroup34863	Posttranslational modification, protein turnover, chaperones
isogroup13078	Cell wall/membrane/envelope biogenesis
isogroup9668	Intracellular trafficking, secretion, and vesicular transport
isogroup27101	Carbohydrate transport and metabolism
isogroup12460	Carbohydrate transport and metabolism
isogroup12460	Amino acid transport and metabolism
isogroup35178	Posttranslational modification, protein turnover, chaperones
isogroup17973	Amino acid transport and metabolism
isogroup24944	Extracellular structures
isogroup22419	Translation, ribosomal structure and biogenesis
isogroup3796	RNA processing and modification 
isogroup9876	Intracellular trafficking, secretion, and vesicular transport
isogroup31271	Cytoskeleton
isogroup2729	Signal transduction mechanisms
isogroup46532	Posttranslational modification, protein turnover, chaperones
isogroup13922	Signal transduction mechanisms
isogroup6583	Lipid transport and metabolism
isogroup6583	Secondary metabolites biosynthesis, transport and catabolism
isogroup3494	Posttranslational modification, protein turnover, chaperones
isogroup38139	Replication, recombination and repair
isogroup46	Cytoskeleton
isogroup6066.1	Replication, recombination and repair
isogroup6066.1	Signal transduction mechanisms
isogroup4777	Replication, recombination and repair
isogroup3062	Signal transduction mechanisms
isogroup7694	Replication, recombination and repair
isogroup6722	Signal transduction mechanisms
isogroup3555	Posttranslational modification, protein turnover, chaperones
isogroup22460	Posttranslational modification, protein turnover, chaperones
isogroup4935	Posttranslational modification, protein turnover, chaperones
isogroup29816	Amino acid transport and metabolism
isogroup8409	Amino acid transport and metabolism
isogroup37560	Posttranslational modification, protein turnover, chaperones
isogroup17149	Translation, ribosomal structure and biogenesis
isogroup23452	Inorganic ion transport and metabolism
isogroup2712.2	Transcription
isogroup2712.2	Signal transduction mechanisms
isogroup6186	Transcription
isogroup4839	Lipid transport and metabolism
isogroup14309	Cytoskeleton
isogroup1657	Lipid transport and metabolism
isogroup3091	Transcription
isogroup3180	RNA processing and modification 
isogroup2122	Signal transduction mechanisms
isogroup2122	Inorganic ion transport and metabolism
isogroup1269	Replication, recombination and repair
isogroup1269	Signal transduction mechanisms
isogroup41522	Signal transduction mechanisms
isogroup41522	Inorganic ion transport and metabolism
isogroup7921	Signal transduction mechanisms
isogroup10134	RNA processing and modification 
isogroup44259	Translation, ribosomal structure and biogenesis
isogroup45107	Replication, recombination and repair
isogroup11317	Cell wall/membrane/envelope biogenesis
isogroup24750	Carbohydrate transport and metabolism
isogroup29881	RNA processing and modification 
isogroup19450	Intracellular trafficking, secretion, and vesicular transport
isogroup23934	Translation, ribosomal structure and biogenesis
isogroup17911	Posttranslational modification, protein turnover, chaperones
isogroup10880	RNA processing and modification 
isogroup9176	Intracellular trafficking, secretion, and vesicular transport
isogroup12812	Signal transduction mechanisms
isogroup12812	Amino acid transport and metabolism
isogroup4556	Inorganic ion transport and metabolism
isogroup11304	Posttranslational modification, protein turnover, chaperones
isogroup3392	Lipid transport and metabolism
isogroup3277	Transcription
isogroup10780	Carbohydrate transport and metabolism
isogroup39279	Posttranslational modification, protein turnover, chaperones
isogroup28996	Replication, recombination and repair
isogroup17927	Signal transduction mechanisms
isogroup31773	Transcription
isogroup16488	Signal transduction mechanisms
isogroup16488	Cytoskeleton
isogroup2886	Nucleotide transport and metabolism
isogroup10802	Secondary metabolites biosynthesis, transport and catabolism
isogroup12644	Coenzyme transport and metabolism
isogroup555	Cell cycle control, cell division, chromosome partitioning
isogroup555	Signal transduction mechanisms
isogroup7805	Posttranslational modification, protein turnover, chaperones
isogroup25435	Posttranslational modification, protein turnover, chaperones
isogroup10413	Intracellular trafficking, secretion, and vesicular transport
isogroup8449	Signal transduction mechanisms
isogroup8449	Cytoskeleton
isogroup6815	Signal transduction mechanisms
isogroup31900	Secondary metabolites biosynthesis, transport and catabolism
isogroup25487	Cell wall/membrane/envelope biogenesis
isogroup13179	Signal transduction mechanisms
isogroup27678	Extracellular structures
isogroup25310	Posttranslational modification, protein turnover, chaperones
isogroup24084	Transcription
isogroup28390	Chromatin structure and dynamics
isogroup3922	Intracellular trafficking, secretion, and vesicular transport
isogroup9436	Posttranslational modification, protein turnover, chaperones
isogroup21353	Coenzyme transport and metabolism
isogroup8049	Transcription
isogroup8049	Chromatin structure and dynamics
isogroup2448	Amino acid transport and metabolism
isogroup8361	Transcription
isogroup4210.1	Secondary metabolites biosynthesis, transport and catabolism
isogroup11341	Signal transduction mechanisms
isogroup2169	Posttranslational modification, protein turnover, chaperones
isogroup2169	Carbohydrate transport and metabolism
isogroup8279	RNA processing and modification 
isogroup8773	Signal transduction mechanisms
isogroup21829	Translation, ribosomal structure and biogenesis
isogroup7019	Energy production and conversion
isogroup12345	Signal transduction mechanisms
isogroup10105	Secondary metabolites biosynthesis, transport and catabolism
isogroup17640	Posttranslational modification, protein turnover, chaperones
isogroup46315	Amino acid transport and metabolism
isogroup17195	Posttranslational modification, protein turnover, chaperones
isogroup1310	Extracellular structures
isogroup19021	Cell cycle control, cell division, chromosome partitioning
isogroup19021	Signal transduction mechanisms
isogroup25058.1	Signal transduction mechanisms
isogroup12860	Amino acid transport and metabolism
isogroup23401	Intracellular trafficking, secretion, and vesicular transport
isogroup11409	Intracellular trafficking, secretion, and vesicular transport
isogroup21924	Signal transduction mechanisms
isogroup21924	Amino acid transport and metabolism
isogroup25995	Signal transduction mechanisms
isogroup7745	Signal transduction mechanisms
isogroup7745	Lipid transport and metabolism
isogroup27443	Cell cycle control, cell division, chromosome partitioning
isogroup14915	Secondary metabolites biosynthesis, transport and catabolism
isogroup2363.1	Transcription
isogroup27351	Transcription
isogroup31190	Carbohydrate transport and metabolism
isogroup24964	Lipid transport and metabolism
isogroup2891.2	Signal transduction mechanisms
isogroup1452	Inorganic ion transport and metabolism
isogroup2658	Cell cycle control, cell division, chromosome partitioning
isogroup2658	Cytoskeleton
isogroup2658	Intracellular trafficking, secretion, and vesicular transport
isogroup39529	Translation, ribosomal structure and biogenesis
isogroup12719	Intracellular trafficking, secretion, and vesicular transport
isogroup6449	Transcription
isogroup6449	Signal transduction mechanisms
isogroup42628	Amino acid transport and metabolism
isogroup14296	Nucleotide transport and metabolism
isogroup18269	Posttranslational modification, protein turnover, chaperones
isogroup2651	RNA processing and modification 
isogroup9365	Translation, ribosomal structure and biogenesis
isogroup10375	RNA processing and modification 
isogroup6425	Energy production and conversion
isogroup26403	Cell cycle control, cell division, chromosome partitioning
isogroup5285	Defense mechanisms
isogroup5502	Transcription
isogroup13222	Energy production and conversion
isogroup25386	Posttranslational modification, protein turnover, chaperones
isogroup23252	Amino acid transport and metabolism
isogroup13056	RNA processing and modification 
isogroup38874	Signal transduction mechanisms
isogroup38874	Amino acid transport and metabolism
isogroup14151	Transcription
isogroup8562	Signal transduction mechanisms
isogroup8562	Posttranslational modification, protein turnover, chaperones
isogroup8562	Carbohydrate transport and metabolism
isogroup12819	Amino acid transport and metabolism
isogroup24813	Carbohydrate transport and metabolism
isogroup19324	Energy production and conversion
isogroup10956	Translation, ribosomal structure and biogenesis
isogroup10956	RNA processing and modification 
isogroup16757	Energy production and conversion
isogroup1313.1	Signal transduction mechanisms
isogroup15506	Signal transduction mechanisms
isogroup9931	Carbohydrate transport and metabolism
isogroup29086	Extracellular structures
isogroup43262	Transcription
isogroup32829	Signal transduction mechanisms
isogroup2098	Transcription
isogroup2098	Replication, recombination and repair
isogroup202	Cytoskeleton
isogroup7369	Inorganic ion transport and metabolism
isogroup10435	Transcription
isogroup3975	Secondary metabolites biosynthesis, transport and catabolism
isogroup4841	Signal transduction mechanisms
isogroup33843	Posttranslational modification, protein turnover, chaperones
isogroup753	Transcription
isogroup5564	Transcription
isogroup13319	Carbohydrate transport and metabolism
isogroup7549	Posttranslational modification, protein turnover, chaperones
isogroup11051	Posttranslational modification, protein turnover, chaperones
isogroup26304	Chromatin structure and dynamics
isogroup9412	RNA processing and modification 
isogroup7266	Signal transduction mechanisms
isogroup25677	Translation, ribosomal structure and biogenesis
isogroup28585	Translation, ribosomal structure and biogenesis
isogroup1264	Signal transduction mechanisms
isogroup20303	Transcription
isogroup3633	Replication, recombination and repair
isogroup32295	Inorganic ion transport and metabolism
isogroup9042	Nucleotide transport and metabolism
isogroup8209	Transcription
isogroup8209	Signal transduction mechanisms
isogroup20374	Cell cycle control, cell division, chromosome partitioning
isogroup17083	Lipid transport and metabolism
isogroup8947	Cytoskeleton
isogroup27643	Cell cycle control, cell division, chromosome partitioning
isogroup27643	Cell motility
isogroup14458	Amino acid transport and metabolism
isogroup6206	Signal transduction mechanisms
isogroup6606	RNA processing and modification 
isogroup8378	Lipid transport and metabolism
isogroup8378	Secondary metabolites biosynthesis, transport and catabolism
isogroup1806	Translation, ribosomal structure and biogenesis
isogroup4176	Replication, recombination and repair
isogroup14175	RNA processing and modification 
isogroup13872	Signal transduction mechanisms
isogroup5726.1	Secondary metabolites biosynthesis, transport and catabolism
isogroup1938	Cell wall/membrane/envelope biogenesis
isogroup587	Signal transduction mechanisms
isogroup587	Cytoskeleton
isogroup14383	Extracellular structures
isogroup10994	Signal transduction mechanisms
isogroup10994	Posttranslational modification, protein turnover, chaperones
isogroup5685	Signal transduction mechanisms
isogroup5608	Signal transduction mechanisms
isogroup34650	Signal transduction mechanisms
isogroup37698	Signal transduction mechanisms
isogroup37698	Cytoskeleton
isogroup385	Extracellular structures
isogroup14451	Signal transduction mechanisms
isogroup24721	Signal transduction mechanisms
isogroup22547	Posttranslational modification, protein turnover, chaperones
isogroup12490	Signal transduction mechanisms
isogroup10258	Energy production and conversion
isogroup14334	Posttranslational modification, protein turnover, chaperones
isogroup15600	Chromatin structure and dynamics
isogroup25866	Extracellular structures
isogroup25866	Posttranslational modification, protein turnover, chaperones
isogroup16303	RNA processing and modification 
isogroup3501	Signal transduction mechanisms
isogroup36784	Secondary metabolites biosynthesis, transport and catabolism
isogroup24194	Signal transduction mechanisms
isogroup24194	Inorganic ion transport and metabolism
isogroup6416	Signal transduction mechanisms
isogroup6416	Inorganic ion transport and metabolism
isogroup42092	Cell cycle control, cell division, chromosome partitioning
isogroup33022	Signal transduction mechanisms
isogroup33022	Inorganic ion transport and metabolism
isogroup28992	Posttranslational modification, protein turnover, chaperones
isogroup14563	Signal transduction mechanisms
isogroup25281	Posttranslational modification, protein turnover, chaperones
isogroup7068	Posttranslational modification, protein turnover, chaperones
isogroup4719	Cytoskeleton
isogroup7798	Signal transduction mechanisms
isogroup12691	Translation, ribosomal structure and biogenesis
isogroup26836	Replication, recombination and repair
isogroup44199	Posttranslational modification, protein turnover, chaperones
isogroup21486	RNA processing and modification 
isogroup24001	Signal transduction mechanisms
isogroup24001	Extracellular structures
isogroup21566	Posttranslational modification, protein turnover, chaperones
isogroup1614	Carbohydrate transport and metabolism
isogroup3465	RNA processing and modification 
isogroup15977	RNA processing and modification 
isogroup4202	Signal transduction mechanisms
isogroup9198	Intracellular trafficking, secretion, and vesicular transport
isogroup8845	Translation, ribosomal structure and biogenesis
isogroup275	Signal transduction mechanisms
isogroup22514	Extracellular structures
isogroup2093	Signal transduction mechanisms
isogroup7423	Transcription
isogroup403	Intracellular trafficking, secretion, and vesicular transport
isogroup403	Posttranslational modification, protein turnover, chaperones
isogroup39131	Posttranslational modification, protein turnover, chaperones
isogroup25553	Posttranslational modification, protein turnover, chaperones
isogroup38207	Signal transduction mechanisms
isogroup7007	Posttranslational modification, protein turnover, chaperones
isogroup7090	Lipid transport and metabolism
isogroup6738	Lipid transport and metabolism
isogroup2145	Amino acid transport and metabolism
isogroup2145	Nucleotide transport and metabolism
isogroup29543	Signal transduction mechanisms
isogroup13092	Extracellular structures
isogroup25288	Cytoskeleton
isogroup2290	Signal transduction mechanisms
isogroup1839	RNA processing and modification 
isogroup3983	Signal transduction mechanisms
isogroup3983	Intracellular trafficking, secretion, and vesicular transport
isogroup22816	Translation, ribosomal structure and biogenesis
isogroup44566	Energy production and conversion
isogroup15760	Lipid transport and metabolism
isogroup34434	Signal transduction mechanisms
isogroup1700.2	RNA processing and modification 
isogroup5250	Carbohydrate transport and metabolism
isogroup3870	Signal transduction mechanisms
isogroup23820	Translation, ribosomal structure and biogenesis
isogroup2847.1	Transcription
isogroup18224	Intracellular trafficking, secretion, and vesicular transport
isogroup4613	Posttranslational modification, protein turnover, chaperones
isogroup33880	Replication, recombination and repair
isogroup1357	Signal transduction mechanisms
isogroup1357	Cytoskeleton
isogroup13567	Posttranslational modification, protein turnover, chaperones
isogroup44540	Posttranslational modification, protein turnover, chaperones
isogroup2286	Signal transduction mechanisms
isogroup27689	Signal transduction mechanisms
isogroup31784	Signal transduction mechanisms
isogroup17044	Transcription
isogroup6164	Carbohydrate transport and metabolism
isogroup13349.1	Posttranslational modification, protein turnover, chaperones
isogroup13082	Energy production and conversion
isogroup35340	Posttranslational modification, protein turnover, chaperones
isogroup653	Posttranslational modification, protein turnover, chaperones
isogroup4694	Transcription
isogroup2871	Lipid transport and metabolism
isogroup1476	Cytoskeleton
isogroup18154	Extracellular structures
isogroup16833	Chromatin structure and dynamics
isogroup10995	Signal transduction mechanisms
isogroup7558	Replication, recombination and repair
isogroup3653	Cytoskeleton
isogroup43631	Transcription
isogroup17253	Cytoskeleton
isogroup5385	Nucleotide transport and metabolism
isogroup22247	Signal transduction mechanisms
isogroup27739	RNA processing and modification 
isogroup9916	Energy production and conversion
isogroup11400	Cytoskeleton
isogroup3151	Intracellular trafficking, secretion, and vesicular transport
isogroup3151	Lipid transport and metabolism
isogroup5510	Cell motility
isogroup38793	Posttranslational modification, protein turnover, chaperones
isogroup42585	Replication, recombination and repair
isogroup1849	Transcription
isogroup45273	Cell wall/membrane/envelope biogenesis
isogroup23096	Posttranslational modification, protein turnover, chaperones
isogroup24537	Signal transduction mechanisms
isogroup24537	Inorganic ion transport and metabolism
isogroup4063	Replication, recombination and repair
isogroup5259	Posttranslational modification, protein turnover, chaperones
isogroup34720	Posttranslational modification, protein turnover, chaperones
isogroup13714	Transcription
isogroup5145	Posttranslational modification, protein turnover, chaperones
isogroup7605	Amino acid transport and metabolism
isogroup941	Signal transduction mechanisms
isogroup8728.1	Signal transduction mechanisms
isogroup7092	Energy production and conversion
isogroup309	Posttranslational modification, protein turnover, chaperones
isogroup1512	RNA processing and modification 
isogroup11424	Signal transduction mechanisms
isogroup19770	Cytoskeleton
isogroup37087	Signal transduction mechanisms
isogroup33796	Signal transduction mechanisms
isogroup33796	Extracellular structures
isogroup19729	Posttranslational modification, protein turnover, chaperones
isogroup9	Posttranslational modification, protein turnover, chaperones
isogroup22520	Cytoskeleton
isogroup344	Signal transduction mechanisms
isogroup14185	Signal transduction mechanisms
isogroup14185	Cytoskeleton
isogroup8200	RNA processing and modification 
isogroup30743	Transcription
isogroup20425	Cytoskeleton
isogroup15767	Cell wall/membrane/envelope biogenesis
isogroup15767	Extracellular structures
isogroup7652	Carbohydrate transport and metabolism
isogroup7551	Cell wall/membrane/envelope biogenesis
isogroup7551	Extracellular structures
isogroup4214	Carbohydrate transport and metabolism
isogroup3107	Transcription
isogroup24142	Cytoskeleton
isogroup6483	Transcription
isogroup3829	Cell cycle control, cell division, chromosome partitioning
isogroup32012	Signal transduction mechanisms
isogroup2637	Posttranslational modification, protein turnover, chaperones
isogroup27137	Posttranslational modification, protein turnover, chaperones
isogroup37234	Chromatin structure and dynamics
isogroup37234	Signal transduction mechanisms
isogroup29417	Extracellular structures
isogroup10544	Replication, recombination and repair
isogroup38718	Cytoskeleton
isogroup29587	Replication, recombination and repair
isogroup11471	Signal transduction mechanisms
isogroup16435	RNA processing and modification 
isogroup868	Intracellular trafficking, secretion, and vesicular transport
isogroup6674	Signal transduction mechanisms
isogroup3900	Amino acid transport and metabolism
isogroup13025	Defense mechanisms
isogroup23353	Signal transduction mechanisms
isogroup34648	Transcription
isogroup5066	Posttranslational modification, protein turnover, chaperones
isogroup12927	Transcription
isogroup6531	RNA processing and modification 
isogroup12916	Nucleotide transport and metabolism
isogroup29770	Signal transduction mechanisms
isogroup27494	Posttranslational modification, protein turnover, chaperones
isogroup12287	Amino acid transport and metabolism
isogroup8781	Carbohydrate transport and metabolism
isogroup8781	Amino acid transport and metabolism
isogroup3122	Replication, recombination and repair
isogroup30019	Signal transduction mechanisms
isogroup1511	Intracellular trafficking, secretion, and vesicular transport
isogroup12059	Transcription
isogroup12059	Replication, recombination and repair
isogroup12059	Cell cycle control, cell division, chromosome partitioning
isogroup716	Replication, recombination and repair
isogroup3135	Cell cycle control, cell division, chromosome partitioning
isogroup11527	Transcription
isogroup2594	Signal transduction mechanisms
isogroup25935	Cell cycle control, cell division, chromosome partitioning
isogroup25252	Transcription
isogroup25234	Posttranslational modification, protein turnover, chaperones
isogroup4647.1	Signal transduction mechanisms
isogroup12515	Amino acid transport and metabolism
isogroup1169	Signal transduction mechanisms
isogroup1169	Inorganic ion transport and metabolism
isogroup7027	Posttranslational modification, protein turnover, chaperones
isogroup9742	Transcription
isogroup9230	Transcription
isogroup20230	Cytoskeleton
isogroup10840	Amino acid transport and metabolism
isogroup15923	Amino acid transport and metabolism
isogroup19258	Cytoskeleton
isogroup4736	Signal transduction mechanisms
isogroup13649	Transcription
isogroup5974	Cell cycle control, cell division, chromosome partitioning
isogroup5974	Signal transduction mechanisms
isogroup24180	Secondary metabolites biosynthesis, transport and catabolism
isogroup14890	Translation, ribosomal structure and biogenesis
isogroup29041	Transcription
isogroup14281	Coenzyme transport and metabolism
isogroup10473	Transcription
isogroup8191	Secondary metabolites biosynthesis, transport and catabolism
isogroup508	Translation, ribosomal structure and biogenesis
isogroup38586	Replication, recombination and repair
isogroup27890	Posttranslational modification, protein turnover, chaperones
isogroup1374	Posttranslational modification, protein turnover, chaperones
isogroup11367	Energy production and conversion
isogroup11367	Coenzyme transport and metabolism
isogroup39011	Signal transduction mechanisms
isogroup3264	Inorganic ion transport and metabolism
isogroup9314	Posttranslational modification, protein turnover, chaperones
isogroup1972	Energy production and conversion
isogroup17438	Signal transduction mechanisms
isogroup15938	Energy production and conversion
isogroup15109	Amino acid transport and metabolism
isogroup44448	Translation, ribosomal structure and biogenesis
isogroup19392	Replication, recombination and repair
isogroup9809.1	Cell cycle control, cell division, chromosome partitioning
isogroup3456	Chromatin structure and dynamics
isogroup15897	Signal transduction mechanisms
isogroup2502	Carbohydrate transport and metabolism
isogroup14649	Posttranslational modification, protein turnover, chaperones
isogroup35148	Lipid transport and metabolism
isogroup6230	Translation, ribosomal structure and biogenesis
isogroup1763	Carbohydrate transport and metabolism
isogroup5459	Signal transduction mechanisms
isogroup5459	Inorganic ion transport and metabolism
isogroup2626	Transcription
isogroup5225	Carbohydrate transport and metabolism
isogroup8173	Amino acid transport and metabolism
isogroup15663	Transcription
isogroup235	Signal transduction mechanisms
isogroup8101	Replication, recombination and repair
isogroup4151	Inorganic ion transport and metabolism
isogroup546	Cytoskeleton
isogroup7279	Replication, recombination and repair
isogroup18035	Carbohydrate transport and metabolism
isogroup18035	Amino acid transport and metabolism
isogroup12049	Posttranslational modification, protein turnover, chaperones
isogroup15155	RNA processing and modification 
isogroup46502	Transcription
isogroup46502	Signal transduction mechanisms
isogroup46502	Posttranslational modification, protein turnover, chaperones
isogroup25983	Signal transduction mechanisms
isogroup4761	Transcription
isogroup1904	Cell cycle control, cell division, chromosome partitioning
isogroup1904	Cytoskeleton
isogroup1904	Intracellular trafficking, secretion, and vesicular transport
isogroup4186	Nucleotide transport and metabolism
isogroup30350	Cell wall/membrane/envelope biogenesis
isogroup14392	Posttranslational modification, protein turnover, chaperones
isogroup44129	Extracellular structures
isogroup13412	Intracellular trafficking, secretion, and vesicular transport
isogroup5743	Transcription
isogroup36613	Cell wall/membrane/envelope biogenesis
isogroup36613	Posttranslational modification, protein turnover, chaperones
isogroup36613	Lipid transport and metabolism
isogroup1707	Signal transduction mechanisms
isogroup35824	Intracellular trafficking, secretion, and vesicular transport
isogroup1036	Carbohydrate transport and metabolism
isogroup4101	Cytoskeleton
isogroup9530	RNA processing and modification 
isogroup20282	Defense mechanisms
isogroup7411	Carbohydrate transport and metabolism
isogroup42332	Cytoskeleton
isogroup41153	Signal transduction mechanisms
isogroup3338	Translation, ribosomal structure and biogenesis
isogroup3338	Posttranslational modification, protein turnover, chaperones
isogroup205	Cytoskeleton
isogroup4413	RNA processing and modification 
isogroup7566.1	Cell wall/membrane/envelope biogenesis
isogroup7566.1	Extracellular structures
isogroup15018	Amino acid transport and metabolism
isogroup23775	Posttranslational modification, protein turnover, chaperones
isogroup9143	Carbohydrate transport and metabolism
isogroup7152	Signal transduction mechanisms
isogroup7152	Intracellular trafficking, secretion, and vesicular transport
isogroup5236	Signal transduction mechanisms
isogroup5805	Amino acid transport and metabolism
isogroup10493	Posttranslational modification, protein turnover, chaperones
isogroup4442	Signal transduction mechanisms
isogroup4442	Intracellular trafficking, secretion, and vesicular transport
isogroup41423	Secondary metabolites biosynthesis, transport and catabolism
isogroup2877	Transcription
isogroup20630	Lipid transport and metabolism
isogroup5282	Signal transduction mechanisms
isogroup1367	Posttranslational modification, protein turnover, chaperones
isogroup3522	Translation, ribosomal structure and biogenesis
isogroup3522	Amino acid transport and metabolism
isogroup45545	Lipid transport and metabolism
isogroup23014	Signal transduction mechanisms
isogroup2809	Posttranslational modification, protein turnover, chaperones
isogroup5599	Transcription
isogroup9714	Amino acid transport and metabolism
isogroup18816	Carbohydrate transport and metabolism
isogroup18816	Amino acid transport and metabolism
isogroup5445	Secondary metabolites biosynthesis, transport and catabolism
isogroup3439	Lipid transport and metabolism
isogroup6560	Cell cycle control, cell division, chromosome partitioning
isogroup4909	Nucleotide transport and metabolism
isogroup4446	Carbohydrate transport and metabolism
isogroup15813	Carbohydrate transport and metabolism
isogroup15813	Amino acid transport and metabolism
isogroup19030	Extracellular structures
isogroup21632	Transcription
isogroup1884	Posttranslational modification, protein turnover, chaperones
isogroup29696	Cytoskeleton
isogroup4063.1	Replication, recombination and repair
isogroup21894	Extracellular structures
isogroup2839	Signal transduction mechanisms
isogroup5451	Intracellular trafficking, secretion, and vesicular transport
isogroup31873	Posttranslational modification, protein turnover, chaperones
isogroup31873	Carbohydrate transport and metabolism
isogroup3530	Amino acid transport and metabolism
isogroup2751	Posttranslational modification, protein turnover, chaperones
isogroup17733	Signal transduction mechanisms
isogroup26979	Signal transduction mechanisms
isogroup31629	Cell motility
isogroup11225	Extracellular structures
isogroup22964	Translation, ribosomal structure and biogenesis
isogroup22964	RNA processing and modification 
isogroup20355	Replication, recombination and repair
isogroup3962	Posttranslational modification, protein turnover, chaperones
isogroup2375	Translation, ribosomal structure and biogenesis
isogroup33280	Lipid transport and metabolism
isogroup2696	Cytoskeleton
isogroup4369	Transcription
isogroup8622	Extracellular structures
isogroup19862	Replication, recombination and repair
isogroup28408	Cytoskeleton
isogroup3142	Signal transduction mechanisms
isogroup27372	Energy production and conversion
isogroup33402	Replication, recombination and repair
isogroup11195	Transcription
isogroup19184	Secondary metabolites biosynthesis, transport and catabolism
isogroup3977.1	Inorganic ion transport and metabolism
isogroup32895	Cytoskeleton
isogroup1891	Intracellular trafficking, secretion, and vesicular transport
isogroup18787	Transcription
isogroup12489	Cell wall/membrane/envelope biogenesis
isogroup12489	Extracellular structures
isogroup15543	Energy production and conversion
isogroup3374	Amino acid transport and metabolism
isogroup7021	Posttranslational modification, protein turnover, chaperones
isogroup4513	Cytoskeleton
isogroup11549	Chromatin structure and dynamics
isogroup26775	Transcription
isogroup20955	Carbohydrate transport and metabolism
isogroup38924	Lipid transport and metabolism
isogroup13576	Secondary metabolites biosynthesis, transport and catabolism
isogroup20545	Cell cycle control, cell division, chromosome partitioning
isogroup16066	Extracellular structures
isogroup30288	RNA processing and modification 
isogroup23755	Replication, recombination and repair
isogroup9465	Signal transduction mechanisms
isogroup3841	Carbohydrate transport and metabolism
isogroup2352	Transcription
isogroup2352	Replication, recombination and repair
isogroup26106	RNA processing and modification 
isogroup3604	Lipid transport and metabolism
isogroup33836	Nuclear structure
isogroup12856	Chromatin structure and dynamics
isogroup2523	Cell cycle control, cell division, chromosome partitioning
isogroup4482	Amino acid transport and metabolism
isogroup32791	Amino acid transport and metabolism
isogroup6475	Transcription
isogroup6475	Intracellular trafficking, secretion, and vesicular transport
isogroup26071	Transcription
isogroup15345	Posttranslational modification, protein turnover, chaperones
isogroup2457.1	Signal transduction mechanisms
isogroup2457.1	Intracellular trafficking, secretion, and vesicular transport
isogroup1995	Posttranslational modification, protein turnover, chaperones
isogroup22552	Translation, ribosomal structure and biogenesis
isogroup34592	Signal transduction mechanisms
isogroup40629	Translation, ribosomal structure and biogenesis
isogroup4636	Cytoskeleton
isogroup22577	Cytoskeleton
isogroup427	Signal transduction mechanisms
isogroup10558	Signal transduction mechanisms
isogroup16350	Transcription
isogroup27592	Signal transduction mechanisms
isogroup27592	Amino acid transport and metabolism
isogroup46026	Secondary metabolites biosynthesis, transport and catabolism
isogroup21449	Posttranslational modification, protein turnover, chaperones
isogroup12229	Transcription
isogroup13852	RNA processing and modification 
isogroup16040	Cell wall/membrane/envelope biogenesis
isogroup16040	Extracellular structures
isogroup7902	Signal transduction mechanisms
isogroup29588	Nuclear structure
isogroup4239	RNA processing and modification 
isogroup11336	Secondary metabolites biosynthesis, transport and catabolism
isogroup14302	Transcription
isogroup7780	Posttranslational modification, protein turnover, chaperones
isogroup3991	Signal transduction mechanisms
isogroup7498	Chromatin structure and dynamics
isogroup6700	Carbohydrate transport and metabolism
isogroup6700	Amino acid transport and metabolism
isogroup4155.1	Signal transduction mechanisms
isogroup4155.1	Inorganic ion transport and metabolism
isogroup12150	Signal transduction mechanisms
isogroup12150	Intracellular trafficking, secretion, and vesicular transport
isogroup29889	Signal transduction mechanisms
isogroup11276	Cytoskeleton
